QGC WPL 110
0	1	0	16	0.00000000	0.00000000	0.00000000	0.00000000	46.6143906	142.8119694	74.00000	1
1	0	3	22	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.400000	1
2	0	3	16	0.00000000	0.00000000	0.00000000	0.00000000	46.6141204	142.8119177	1.400000	1
3	0	3	16	0.00000000	0.00000000	0.00000000	0.00000000	46.6141435	142.8117889	1.400000	1
4	0	3	16	0.00000000	0.00000000	0.00000000	0.00000000	46.6143208	142.8117950	1.400000	1
5	0	3	16	0.00000000	0.00000000	0.00000000	0.00000000	46.6143328	142.8116897	1.400000	1
6	0	3	16	0.00000000	0.00000000	0.00000000	0.00000000	46.6141605	142.8116407	1.400000	1
7	0	3	16	0.00000000	0.00000000	0.00000000	0.00000000	46.6141651	142.8115234	1.400000	1
8	0	3	16	0.00000000	0.00000000	0.00000000	0.00000000	46.6143632	142.8115542	1.000000	1
9	0	3	16	0.00000000	0.00000000	0.00000000	0.00000000	46.6144433	142.8115703	1.000000	1
10	0	3	183	5.00000000	1200.00000	0.00000000	0.00000000	0.00000000	0.000000000	0.000000	1
11	0	3	16	0.00000000	0.00000000	0.00000000	0.00000000	46.6144410	142.8115800	1.400000	1
10	0	3	183	5.00000000	1800.00000	0.00000000	0.00000000	0.00000000	0.000000000	0.000000	1
12	0	3	16	0.00000000	0.00000000	0.00000000	0.00000000	46.6143906	142.8119694	1.400000	1
13	0	3	21	0.00000000	0.00000000	0.00000000	0.00000000	46.6143906	142.8119694	74.00000	1
